name,Count
Montenegro, 3
USA, 7168
Guatemala, 39
Canada, 1122
Turkey, 51
Iceland, 10
UK, 4449
France, 475
India, 216
Ireland, 108
Italy, 301
Barbados, 3
Belgium, 36
Brazil, 143
Portugal, 124
Trinidad and Tobago, 5
Netherlands, 75
Luxembourg, 13
Spain, 343
Australia, 491
Mexico, 369
Poland, 135
Singapore, 12
Japan, 73
Pakistan, 142
Thailand, 40
Germany, 565
Costa Rica, 10
China, 110
Venezuela, 16
Finland, 96
Argentina, 1220
Puerto Rico, 18
Switzerland, 72
Andorra, 1
Tanzania, 7
South Africa, 36
Morocco, 39
Jordan, 9
Yemen, 3
Russia, 70
Sweden, 114
Channel Islands, 2
Iran, 30
New Zealand, 53
Austria, 73
Malta, 7
Ukraine, 17
Czech Republic, 101
Saudi Arabia, 3
Colombia, 11
Afghanistan, 5
Kuwait, 6
Iraq, 8
Bahrain, 2
Norway, 22
Qatar, 2
Serbia, 41
Bosnia-Herzegovina, 6
Dominican Republic, 20
Malaysia, 49
Peru, 30
Chile, 23
Isle of Man, 26
Bulgaria, 24
Mali, 8
Grenada, 1
Belize, 5
Bahamas, 12
Cayman Islands, 2
Saint Lucia, 1
Palau, 57
Honduras, 2
French Polynesia, 37
Denmark, 109
Nigeria, 2
Niger, 2
Panama, 47
Philippines, 99
Aruba, 4
Romania, 62
Egypt, 16
Greece, 51
Kosovo, 4
Hungary, 70
South Korea, 16
Israel, 29
Lebanon, 2
Syria, 1
El Salvador, 4
Cook Islands, 18
Ecuador, 6
Ghana, 1
Cuba, 20
Rwanda, 2
Belarus, 1
Bermuda, 2
Lithuania, 2
Tonga, 4
Swaziland, 1
Estonia, 6
Tunisia, 3
Croatia, 5
Africa, 1
Burkina Faso, 3
Mediterranean Sea, 1
Bolivia, 4
Comoros, 1
Greenland, 8
Indonesia, 6
Kenya, 35
Laos, 1
Madagascar, 2
Namibia, 12
Taiwan, 13
Liechtenstein, 1
Fiji, 55
Nicaragua, 14
Vanuatu, 29
Gabon, 16
Georgia, 4
Calgary Alberta Canada, 1
Slovakia, 20
Haiti, 6
Paraguay, 2
Bangladesh, 16
Latvia, 2
Navassa Island, 1
USS Nimitz, 1
Hong Kong, 3
Ethiopia, 2
Gibraltar, 2
Cyprus, 3
West Indies, 1
The Netherlands, 1
Nepal, 5
British Virgin Islands, 5
U.S. Virgin Islands, 2
Centerville Arkansas, 1
Senegal, 1
Sierra Leone, 2
Northern Ireland, 1
Slovenia, 6
Cape Verde, 1
Baltic Sea, 1
Burma, 1
Uganda, 1
Jamaica, 3
Libya, 1
Vietnam, 6
Cambodia, 3
Mozambique, 3
Falkland Islands, 1
Macedonia, 7
Indian Ocean, 2
Azerbaijan, 1
Mauritius, 3
Maldives, 1
USA , 1
Space, 2
Albania, 1
Bogra, 1
Bangtladesh, 1
Monaco, 4
Tajikistan, 2
Chad, 1
Mauritania, 2
Sudan, 2
Antigua and Barbuda, 1
Sri Lanka, 2
Southern USA, 1
Zimbabwe, 3
Vatican City, 1
Benin, 1
Uruguay, 2
Arctic, 1
Bhutan, 1
Cameroon, 1
Algeria, 1
Kashmir, 1
Papua New Guinea, 1
Antarctica, 2
South Georgia and the South Sandwich Islands, 1
Botswana, 2
Scotland, 1
England, 1
West Africa, 1
Ontario, 1
Berlin, 1
